comparison,kind,workload,slo_class,metric,abs_d,signed_d
treatment ↔ treatment,within-arm,balanced_10,critical,tpot_ms,0.10387290539948021,
baseline → control,between-arm,balanced_10,critical,tpot_ms,0.07734769351624092,0.0424212128204392
baseline → treatment,between-arm,balanced_10,critical,tpot_ms,0.0802379429829644,-0.006204485400604305
baseline ↔ baseline,within-arm,balanced_10,sheddable,ttft_ms,0.2478448303473539,
control ↔ control,within-arm,balanced_10,sheddable,ttft_ms,0.2642438634518851,
treatment ↔ treatment,within-arm,balanced_10,sheddable,ttft_ms,0.15230814550010957,
baseline → control,between-arm,balanced_10,sheddable,ttft_ms,0.21231947759470235,0.06423919985864295
baseline → treatment,between-arm,balanced_10,sheddable,ttft_ms,0.1597512940827134,0.09141905013837365
baseline ↔ baseline,within-arm,balanced_10,sheddable,e2e_ms,0.08626275317099051,
control ↔ control,within-arm,balanced_10,sheddable,e2e_ms,0.0780171721402461,
treatment ↔ treatment,within-arm,balanced_10,sheddable,e2e_ms,0.0659907807044103,
baseline → control,between-arm,balanced_10,sheddable,e2e_ms,0.04427779824792801,0.029332716603210306
baseline → treatment,between-arm,balanced_10,sheddable,e2e_ms,0.05062276597929921,-0.0010133844123950085
baseline ↔ baseline,within-arm,balanced_10,sheddable,tpot_ms,0.12341336803865259,
control ↔ control,within-arm,balanced_10,sheddable,tpot_ms,0.1589148187418394,
treatment ↔ treatment,within-arm,balanced_10,sheddable,tpot_ms,0.09988125702816397,
baseline → control,between-arm,balanced_10,sheddable,tpot_ms,0.07674381607306759,0.042176016873776784
baseline → treatment,between-arm,balanced_10,sheddable,tpot_ms,0.07858359860522969,-0.008306784254181488
baseline ↔ baseline,within-arm,balanced_15,critical,ttft_ms,0.18786501869096156,
control ↔ control,within-arm,balanced_15,critical,ttft_ms,0.2974537428001841,
treatment ↔ treatment,within-arm,balanced_15,critical,ttft_ms,0.32648799013554386,
baseline → control,between-arm,balanced_15,critical,ttft_ms,0.20954651842781905,0.13378814618366922
baseline → treatment,between-arm,balanced_15,critical,ttft_ms,1.3614806267469746,-1.3614806267469746
baseline ↔ baseline,within-arm,balanced_15,critical,e2e_ms,0.14784950199232924,
control ↔ control,within-arm,balanced_15,critical,e2e_ms,0.2090500524400225,
treatment ↔ treatment,within-arm,balanced_15,critical,e2e_ms,0.3202266521801033,
baseline → control,between-arm,balanced_15,critical,e2e_ms,0.1543904728296048,0.09431898449586022
baseline → treatment,between-arm,balanced_15,critical,e2e_ms,1.3988638795003343,-1.3988638795003343
baseline ↔ baseline,within-arm,balanced_15,critical,tpot_ms,0.09959345414609988,
control ↔ control,within-arm,balanced_15,critical,tpot_ms,0.12123984361195003,
treatment ↔ treatment,within-arm,balanced_15,critical,tpot_ms,0.3295197611501781,
baseline → control,between-arm,balanced_15,critical,tpot_ms,0.08452173043423929,0.0013523598960698917
baseline → treatment,between-arm,balanced_15,critical,tpot_ms,1.896020773650682,-1.896020773650682
baseline ↔ baseline,within-arm,balanced_15,sheddable,ttft_ms,0.13630163766244505,
control ↔ control,within-arm,balanced_15,sheddable,ttft_ms,0.12656055828185658,
treatment ↔ treatment,within-arm,balanced_15,sheddable,ttft_ms,0.08785631986769624,
baseline → control,between-arm,balanced_15,sheddable,ttft_ms,0.10837453491289385,-0.04029216177841639
baseline → treatment,between-arm,balanced_15,sheddable,ttft_ms,0.4035784988453517,0.4035784988453517
baseline ↔ baseline,within-arm,balanced_15,sheddable,e2e_ms,0.1441605380804102,
control ↔ control,within-arm,balanced_15,sheddable,e2e_ms,0.1299798831796552,
treatment ↔ treatment,within-arm,balanced_15,sheddable,e2e_ms,0.08292508194580618,
baseline → control,between-arm,balanced_15,sheddable,e2e_ms,0.11182998222551194,-0.03778796691529527
baseline → treatment,between-arm,balanced_15,sheddable,e2e_ms,0.37374588257331637,0.37374588257331637
baseline ↔ baseline,within-arm,balanced_15,sheddable,tpot_ms,0.22597030534096563,
control ↔ control,within-arm,balanced_15,sheddable,tpot_ms,0.1274278472443098,
treatment ↔ treatment,within-arm,balanced_15,sheddable,tpot_ms,0.2891650436236783,
baseline → control,between-arm,balanced_15,sheddable,tpot_ms,0.11150675608064575,0.05182327092354607
baseline → treatment,between-arm,balanced_15,sheddable,tpot_ms,0.6266577769554812,-0.6266577769554812
