arm,workload,slo_class,execution,tpot_mean_ms,tpot_mean_loo%,tpot_p95_ms,tpot_p95_loo%,tpot_p99_ms,tpot_p99_loo%
treatment,balanced_10,critical,results.2,32.25081975908533,-0.037480709888652076,44.848482584732345,-0.2807529714652524,47.623279801169595,-0.4255543232068749
treatment,balanced_10,critical,results.3,32.55998503609171,1.4066616177183129,45.38644872027758,1.5225804037746478,48.27923672466686,1.643001156182577
treatment,balanced_10,sheddable,results.1,31.93135882638388,-1.3390650271254765,44.65591357148059,-1.2738826182652205,47.41083524311799,-1.6513008858100169
treatment,balanced_10,sheddable,results.2,32.22312825954201,0.013250576300511633,45.004344719894476,-0.11886341706953041,47.9618507761982,0.06359662489503302
treatment,balanced_10,sheddable,results.3,32.50635932369035,1.3377576541221827,45.4598905924573,1.4047727694987984,48.45190084459459,1.6054026931388936
treatment,balanced_15,critical,results.1,60.27382678676916,0.5402835508506395,71.06962642614599,0.7686384777917554,77.55010793748444,2.291034083526215
treatment,balanced_15,critical,results.2,61.083693240824545,2.584095108592408,71.91412199999999,2.580183877874563,77.37265944490473,1.9376761964467126
treatment,balanced_15,critical,results.3,58.816161141989575,-3.069606022574901,69.14092746721876,-3.288411126063802,74.25374385093163,-4.140953449851148
treatment,balanced_15,sheddable,results.1,60.903677267756,-0.3636283775459602,74.52754268363216,-1.3597132750854715,81.2819617123288,-1.735649038852138
treatment,balanced_15,sheddable,results.2,62.59787996544049,3.8471750185898443,78.16267112989324,6.001525083104042,85.10409123651367,5.318262354624529
treatment,balanced_15,sheddable,results.3,59.6540171601083,-3.395522296987436,72.94707349498329,-4.4508856552251705,80.33120837578697,-3.4399735409483654
