execution,workload,slo_class,metric,ks_D,mean_pct_delta,p99_pct_delta,cohens_d
results.1,balanced_15,sheddable,tpot_ms,0.41696209435505865,-9.835056067502528,2.197670728238539,-0.7409453075534312
results.2,balanced_5,critical,ttft_ms,0.029955947136563875,-0.49905083543623097,0.20670148844473768,-0.01864061888478152
results.2,balanced_5,critical,e2e_ms,0.02907488986784141,-1.2092973816197394,-0.7667085880908436,-0.05055804906799699
results.2,balanced_5,critical,tpot_ms,0.0907488986784141,-1.2228181243237104,-1.2228552033654476,-0.17902053386422948
results.2,balanced_5,sheddable,ttft_ms,0.01630901287553648,-0.34849986416173584,-3.066507773287476,-0.011883749918861337
results.2,balanced_5,sheddable,e2e_ms,0.029184549356223177,-1.20200403881064,-1.5026959924524323,-0.04873345880498213
results.2,balanced_5,sheddable,tpot_ms,0.07725321888412018,-1.225131259402658,-1.1317594953817736,-0.17700756355725686
results.2,balanced_8,critical,ttft_ms,0.013851891315929675,-0.032514946046556116,1.6606984268775837,-0.0009344099099819757
results.2,balanced_8,critical,e2e_ms,0.015450186467767715,0.5052615917253694,0.5094533192345198,0.01835672910809107
results.2,balanced_8,critical,tpot_ms,0.02876931273308471,0.516930553972452,0.5858674268993981,0.04029331496334523
results.2,balanced_8,sheddable,ttft_ms,0.0187207488299532,-0.1533972936408732,-1.3119879228526228,-0.00427397409918793
results.2,balanced_8,sheddable,e2e_ms,0.014040561622464899,0.517321621159286,0.7547744277994406,0.01860230167578208
results.2,balanced_8,sheddable,tpot_ms,0.022880915236609463,0.5353370888965809,0.7373180022103103,0.03954532226483907
results.2,balanced_10,critical,ttft_ms,0.05243288590604027,-19.983062107181688,-71.93498301778712,-0.23483262740728125
results.2,balanced_10,critical,e2e_ms,0.028942953020134228,-1.6818474873084572,-2.2573200962152655,-0.056271598526969925
results.2,balanced_10,critical,tpot_ms,0.044463087248322146,-1.250475172683215,-3.946029642557579,-0.07006096373791919
results.2,balanced_10,sheddable,ttft_ms,0.041390728476821195,-9.261263142313608,-37.020710318875786,-0.10249836591650964
results.2,balanced_10,sheddable,e2e_ms,0.02359271523178808,-1.4036045636070835,-1.0437128763978925,-0.046119546884391426
results.2,balanced_10,sheddable,tpot_ms,0.036009933774834434,-1.2228257216744416,-3.460808918527102,-0.06803730429904314
results.2,balanced_15,critical,ttft_ms,0.48444811450591796,-51.72177171024577,-16.4311421987798,-1.1019527389633599
results.2,balanced_15,critical,e2e_ms,0.48857693366363886,-29.119229649440705,-9.978162488944196,-1.195328699876574
results.2,balanced_15,critical,tpot_ms,0.6394164602257087,-15.04857054696432,-9.511977462208824,-1.7072154236578956
results.2,balanced_15,sheddable,ttft_ms,0.197436001577598,20.393910950150236,14.543024189140969,0.36886047263943134
results.2,balanced_15,sheddable,e2e_ms,0.1655215542821505,16.232897301306544,12.14508896064523,0.3456385045566527
results.2,balanced_15,sheddable,tpot_ms,0.3323768662006772,-6.187847258919288,9.870600936363333,-0.45108141116703465
results.3,balanced_5,critical,ttft_ms,0.03700440528634361,18.57628803643337,404.2737655975368,0.1701154658180726
results.3,balanced_5,critical,e2e_ms,0.018502202643171806,0.7214721692881176,1.430606956952229,0.029671521242804286
results.3,balanced_5,critical,tpot_ms,0.03612334801762115,0.3494828203501361,1.3865801541550538,0.04921949317667329
results.3,balanced_5,sheddable,ttft_ms,0.03690987124463519,20.121011663288066,462.6952534906489,0.17626860218591472
results.3,balanced_5,sheddable,e2e_ms,0.018025751072961373,0.7692333303543052,1.9725725244419834,0.030663530306929802
results.3,balanced_5,sheddable,tpot_ms,0.039484978540772535,0.3660568208596158,1.6570692458311165,0.051021875930106944
results.3,balanced_8,critical,ttft_ms,0.11880660628662759,-0.1883578265968901,-54.37252521699363,-0.0022944759630474636
results.3,balanced_8,critical,e2e_ms,0.14917421417155036,10.974483913840478,19.755280103084452,0.36237258996454386
results.3,balanced_8,critical,tpot_ms,0.2983484283431007,11.22083772492486,19.522206314905592,0.7071774727832395
results.3,balanced_8,sheddable,ttft_ms,0.11752470098803952,0.028799406420682162,-59.87946097375887,0.0003563410618835729
results.3,balanced_8,sheddable,e2e_ms,0.16328653146125846,11.125981695934811,20.330023991200534,0.36263544990750274
results.3,balanced_8,sheddable,tpot_ms,0.2953718148725949,11.36095107364845,18.499154687240306,0.6798029354644903
results.3,balanced_10,critical,ttft_ms,0.038171140939597316,12.126993193340011,45.840792382168196,0.15273304437062996
results.3,balanced_10,critical,e2e_ms,0.0436241610738255,2.1704322864944325,1.644820225964212,0.07171654763602546
results.3,balanced_10,critical,tpot_ms,0.06501677852348993,1.9885549864338103,-0.20011976521059718,0.11105018637354015
results.3,balanced_10,sheddable,ttft_ms,0.061258278145695365,23.867004304699794,193.38044589804656,0.25474324074183874
results.3,balanced_10,sheddable,e2e_ms,0.03683774834437086,2.2919506125777254,2.4853726276693675,0.07441407235035631
results.3,balanced_10,sheddable,tpot_ms,0.0625,1.9027696341245282,0.07254084974747922,0.1054152215265723
results.3,balanced_15,critical,ttft_ms,0.6192942265648589,-61.6976431829744,-35.7683183251972,-1.5899019290503889
results.3,balanced_15,critical,e2e_ms,0.5906390999780524,-33.84063035854163,-21.38550213162345,-1.565595822597602
results.3,balanced_15,critical,tpot_ms,0.7362709942269287,-17.733221105677405,-13.524807884145392,-2.0884698732117326
results.3,balanced_15,sheddable,ttft_ms,0.29015544041450775,31.014240650084833,19.63027336054359,0.5282741326033195
results.3,balanced_15,sheddable,e2e_ms,0.2552495227706572,24.491335322416337,15.748502969472614,0.4981927463592317
results.3,balanced_15,sheddable,tpot_ms,0.4035996727570221,-9.318834838372252,6.3641924021578395,-0.6879466121459776
