workload,slo_class,ttft_mean_baseline_mean,ttft_mean_other_mean,ttft_mean_delta%_R1,ttft_mean_delta%_R2,ttft_mean_delta%_R3,ttft_mean_delta%_avg,ttft_mean_maxabs,ttft_p95_baseline_mean,ttft_p95_other_mean,ttft_p95_delta%_R1,ttft_p95_delta%_R2,ttft_p95_delta%_R3,ttft_p95_delta%_avg,ttft_p95_maxabs,tpot_mean_baseline_mean,tpot_mean_other_mean,tpot_mean_delta%_R1,tpot_mean_delta%_R2,tpot_mean_delta%_R3,tpot_mean_delta%_avg,tpot_mean_maxabs,tpot_p95_baseline_mean,tpot_p95_other_mean,tpot_p95_delta%_R1,tpot_p95_delta%_R2,tpot_p95_delta%_R3,tpot_p95_delta%_avg,tpot_p95_maxabs,e2e_mean_baseline_mean,e2e_mean_other_mean,e2e_mean_delta%_R1,e2e_mean_delta%_R2,e2e_mean_delta%_R3,e2e_mean_delta%_avg,e2e_mean_maxabs,e2e_p95_baseline_mean,e2e_p95_other_mean,e2e_p95_delta%_R1,e2e_p95_delta%_R2,e2e_p95_delta%_R3,e2e_p95_delta%_avg,e2e_p95_maxabs
balanced_5,critical,93.02654860499267,93.82830543318647,4.6293009908314025,1.8720608305606428,-3.6832762440582583,0.9393618591112624,4.6293009908314025,145.32826666666665,147.6385,2.8064520659532026,2.8414996720135077,-0.8239222113323647,1.6080098422114488,2.8414996720135077,18.463861764139455,18.48171538663423,-2.3836820221735455,0.9056215082563185,1.8167387644589015,0.11289275018055811,2.3836820221735455,20.636783220459044,20.705954479368284,-2.784755177784674,1.3867985699073826,2.466630865493292,0.3562247525386668,2.784755177784674,4776.044296035242,4781.51084493392,-2.2673639787804976,0.933035322954441,1.7212879846876246,0.128986442953856,2.2673639787804976,6598.287899999999,6603.999866666666,-3.002036788339503,0.892455939252141,2.4462163659544465,0.11221183895569482,3.002036788339503
balanced_5,sheddable,94.03398369098711,95.05483175965666,5.571689218349539,1.75114746042044,-3.786315166588581,1.178840504060466,5.571689218349539,148.42146666666665,150.44279999999998,3.4681378807725696,0.692330027517374,-0.0005325926744717396,1.3866451052051572,3.4681378807725696,18.46288458903408,18.485488928416903,-2.4363465919471405,0.9005411683114137,1.9544731251920509,0.13955590051877467,2.4363465919471405,20.703406836121705,20.73029007587685,-3.173291187986142,1.1538520543025503,2.4884913537693607,0.15635074002858973,3.173291187986142,4783.1099422031475,4789.1224128755375,-2.294548638618679,0.9116374863587134,1.8051528110617419,0.1407472196005921,2.294548638618679,6794.568666666666,6815.397266666667,-2.505333392752337,1.1266869898468843,2.348652825738521,0.32333547427768944,2.505333392752337
balanced_8,critical,122.81177659385544,119.94601349671463,4.043880230675648,0.01802121262289567,-10.031211864077513,-1.9897701402596564,10.031211864077513,202.3363999999999,200.5090666666666,2.2022166537776604,0.8448522585640643,-5.37151105123963,-0.7748140462993018,5.37151105123963,23.92729281209024,24.109582944178385,0.8780850572979902,0.5197163155865109,0.8867175247484309,0.7615062992109772,0.8867175247484309,30.24868276850044,30.386740794688887,0.6332410590254631,0.5282355384875397,0.20628849202174054,0.4559216965115811,0.6332410590254631,6227.0526615166045,6270.652523352869,0.9431310595192908,0.5070656481411904,0.6487639184173706,0.6996535420259505,0.9431310595192908,9107.448599999998,9167.833266666663,0.949866797265954,0.6748136717408478,0.36402927740592217,0.6629032488042413,0.949866797265954
balanced_8,sheddable,125.36030005200207,122.33572300225342,4.87695487853361,-0.8749060045504015,-10.199589770161705,-2.065846965392832,10.199589770161705,210.2573666666665,204.61296666666658,2.2871368079367507,-1.4063530007616276,-8.417020734499284,-2.51207897577472,8.417020734499284,23.973831161619433,24.165252884773537,0.8694810890428176,0.5581634480800725,0.9670722709536919,0.7982389360255273,0.9670722709536919,30.752615770057222,30.918816980284237,0.7559034500095297,0.5976071585196487,0.26599119922828485,0.5398339359191545,0.7559034500095297,6200.308382388629,6246.00979268504,0.9452341411608534,0.5320296405075317,0.7324821240828963,0.7365819685837603,0.9452341411608534,9161.891133333333,9214.393000000002,0.8165678247872399,0.5698656151144629,0.3318577732568387,0.5727637377195138,0.8165678247872399
balanced_10,critical,163.56042939038034,170.37330131431767,31.779314241410646,-19.216649885285292,6.029746298363976,6.197470218163109,31.779314241410646,302.9439166666666,347.03371666666635,72.46520513154009,-23.669127294167637,8.01098068220838,18.935686173193613,72.46520513154009,32.29701470973297,32.54675310960859,-0.8372221094592067,-0.10656425967211125,3.3030306303021515,0.7864147537236112,3.3030306303021515,45.24960368140584,45.69070032388851,-1.4741324792612893,0.4897983623907371,3.951878757696629,0.9891815469420256,3.951878757696629,8411.609946588367,8481.774228187918,-0.23934324231208087,-0.5512863312855322,3.3440693993483226,0.8511466085835698,3.3440693993483226,12906.980499999998,13065.306483333332,0.9924234493371346,-1.5721689477682301,4.382677063803401,1.2676438551241018,4.382677063803401
balanced_10,sheddable,164.10490535320088,175.5863722406181,34.1533504555736,-17.50678661201541,9.97518580821554,8.873916550591245,34.1533504555736,299.9068333333333,361.37041666666664,91.14725775587237,-24.780517265929223,10.556908009136137,25.641216166359765,91.14725775587237,32.27064704716677,32.52100994964372,-0.8993707140034083,-0.0422308760331723,3.308140992704161,0.7888464675558602,3.308140992704161,45.3280577524453,45.795116947004345,-0.9715071483798063,0.6211772898695009,3.475892012345744,1.0418540512784795,3.475892012345744,8348.552019453642,8423.670264486755,-0.23733076593779032,-0.45111061209728864,3.437764513603515,0.9164410451894787,3.437764513603515,13013.013833333333,13201.958833333332,0.5904822008561125,-0.28600208631797736,4.118699914416406,1.474393342984847,4.118699914416406
balanced_15,critical,11303.82090701358,11952.401215887248,9.90602206279919,-4.970056142444988,12.939065017964824,5.958343646106342,12.939065017964824,19911.07216666666,21623.273533333333,17.38500010701011,-9.027247800136768,19.986937070498147,9.448229792457163,19.986937070498147,71.81263490946331,71.82336161298021,-0.6921771415340496,-0.24728013176065217,0.9911599080437752,0.01723421158302448,0.9911599080437752,80.15934442798897,79.89458932808041,-1.352176127771547,-0.11689997660822783,0.4866868272072148,-0.32746309239085336,1.352176127771547,29614.241616841566,30267.647936527774,3.3945422486166166,-2.107938314863108,5.452084963889492,2.2462296325476667,5.452084963889492,41352.36225,42407.984783333326,6.986753692478327,-4.191495159085974,5.136288072440392,2.643848868610915,6.986753692478327
balanced_15,sheddable,91732.62565462408,89769.37608721545,-8.321867984818455,-3.274326627808561,5.723591929508049,-1.9575342277063223,8.321867984818455,157121.62041666667,155317.97745,-3.416567030892882,-4.098687990235179,4.332628826793656,-1.0608753981114682,4.332628826793656,66.68604845959787,67.09447168772728,-1.0387896614116792,-0.027657455395016295,2.9572312905041502,0.6302613912324849,2.9572312905041502,74.76837141553341,75.44682626162324,-1.029057176665961,0.5333737684608091,3.2988915654361897,0.9344027190770126,3.2988915654361897,108769.55190770233,106909.63384155282,-7.200587300398767,-2.7549580399033484,5.26176417824166,-1.5645937206868188,7.200587300398767,175565.96265,173587.89701666668,-3.6026200930627117,-3.6212796408264367,4.072761665141518,-1.05037935624921,4.072761665141518
