workload,slo_class,ttft_mean_baseline,ttft_mean_treatment,ttft_mean_delta,ttft_mean_pct,ttft_p95_baseline,ttft_p95_treatment,ttft_p95_delta,ttft_p95_pct,ttft_p99_baseline,ttft_p99_treatment,ttft_p99_delta,ttft_p99_pct,tpot_mean_baseline,tpot_mean_treatment,tpot_mean_delta,tpot_mean_pct,tpot_p95_baseline,tpot_p95_treatment,tpot_p95_delta,tpot_p95_pct,e2e_mean_baseline,e2e_mean_treatment,e2e_mean_delta,e2e_mean_pct,e2e_p95_baseline,e2e_p95_treatment,e2e_p95_delta,e2e_p95_pct,e2e_p99_baseline,e2e_p99_treatment,e2e_p99_delta,e2e_p99_pct
balanced_5,critical,94.1152255506608,93.64554273127753,-0.46968281938326584,-0.49905083543623097,146.0426,145.16369999999998,-0.8789000000000158,-0.6018107045478619,171.18406000000016,171.5379000000003,0.35384000000013316,0.20670148844473768,18.31372350533988,18.089779975078052,-0.22394353026182756,-1.2228181243237104,20.42897014844804,20.16151089192447,-0.2674592565235727,-1.3092155628994895,4738.910727753304,4681.603204405286,-57.30752334801764,-1.2092973816197394,6523.896299999999,6458.7478,-65.14849999999933,-0.9986133593202476,7459.7338400000035,7402.539420000005,-57.1944199999989,-0.7667085880908436
balanced_5,sheddable,95.36398197424892,95.03163862660944,-0.3323433476394797,-0.34849986416173584,150.15959999999998,146.92439999999996,-3.2352000000000203,-2.154507603909454,192.3973599999998,186.4974799999999,-5.899879999999882,-3.066507773287476,18.31062045710119,18.086291322090666,-0.22432913501052454,-1.225131259402658,20.438765973881633,20.2187662615473,-0.21999971233433158,-1.0763845166360122,4745.7182738197425,4688.674548497855,-57.043725321887905,-1.20200403881064,6735.4288,6647.066400000001,-88.36239999999907,-1.3119045961854585,7599.442639999999,7485.246119999998,-114.19652000000133,-1.5026959924524323
balanced_8,critical,117.29207032498667,117.25393287160361,-0.03813745338305807,-0.032514946046556116,194.969,195.00779999999995,0.038799999999952206,0.019900599582473217,246.46016000000003,250.55312,4.092959999999977,1.6606984268775837,23.857583991115703,23.98091113220542,0.12332714108971743,0.516930553972452,30.06697935198356,30.2957248327003,0.22874548071674283,0.7607863697875995,6203.6837208311135,6235.028551944592,31.344831113478904,0.5052615917253694,9065.613599999999,9118.944199999998,53.33059999999932,0.588273473292523,10674.21056,10728.590680000001,54.380120000001625,0.5094533192345198
balanced_8,sheddable,119.85538325533021,119.67152834113364,-0.18385491419657285,-0.1533972936408732,202.9717999999999,201.9936999999999,-0.9780999999999835,-0.4818896023979608,267.93082,264.4156,-3.5152199999999993,-1.3119879228526228,23.90807614219129,24.036064941022076,0.12798879883078484,0.5353370888965809,30.620794742156143,30.843313138695937,0.22251839653979388,0.7266904677475572,6178.3148824753,6210.276641185646,31.961758710346658,0.517321621159286,9128.854,9169.7083,40.854300000000876,0.4475293393891596,10689.22542,10769.904959999998,80.67953999999736,0.7547744277994406
balanced_10,critical,190.01763422818794,152.04629236577182,-37.971341862416125,-19.983062107181688,366.00419999999986,284.8212,-81.18299999999988,-22.18089300614581,1408.74456,395.36440000000005,-1013.38016,-71.93498301778712,32.65921513595363,32.25081975908533,-0.40839537686829885,-1.250475172683215,45.77548931488202,44.848482584732345,-0.927006730149678,-2.0251159387351425,8531.634055369128,8388.14498238255,-143.48907298657832,-1.6818474873084572,13213.926549999998,12784.2881,-429.63844999999856,-3.2514063732252136,15359.346270000004,15012.636660000004,-346.7096099999999,-2.2573200962152655
balanced_10,sheddable,187.9659395695364,170.55791928807946,-17.408020281456942,-9.261263142313608,363.43975,340.267,-23.172750000000008,-6.3759536484382915,1220.664449999996,768.7657999999991,-451.8986499999968,-37.020710318875786,32.6220389426676,32.22312825954201,-0.3989106831255924,-1.2228257216744416,45.73915602893891,45.004344719894476,-0.7348113090444315,-1.6065257272773474,8462.20344660596,8343.427572847682,-118.77587375827716,-1.4036045636070835,13219.221749999999,12957.516500000002,-261.70524999999725,-1.9797326571059093,15711.365999999995,15547.384449999994,-163.98155000000042,-1.0437128763978925
balanced_15,critical,11692.453180016515,5644.909238921002,-6047.543941095513,-51.72177171024577,21656.57399999999,17542.917199999974,-4113.656800000015,-18.994956450637194,26466.942999999996,22118.12196,-4348.821039999995,-16.4311421987798,71.90425591907655,61.083693240824545,-10.820562678252003,-15.04857054696432,80.32859774353452,71.91412199999999,-8.414475743534524,-10.475068630476358,30020.38989430223,21278.683619322874,-8741.706274979355,-29.119229649440705,42482.84519999998,34970.0036,-7512.841599999985,-17.684412530825476,48033.257879999976,43240.421359999986,-4792.83651999999,-9.978162488944196
balanced_15,sheddable,93563.75151936716,112645.05968584673,19081.308166479575,20.393910950150236,160855.03375,180658.9416,19803.90784999999,12.311649432605952,164343.99035,188244.57662,23900.58627,14.543024189140969,66.72683456930056,62.59787996544049,-4.128954603860073,-6.187847258919288,74.76545533314132,78.16267112989324,3.3972157967519223,4.543830812792545,110602.7686333879,128556.80247804744,17954.03384465954,16.232897301306544,179062.72625,197244.01870000002,18181.292450000008,10.153588538921293,185381.28525000002,207896.00726,22514.722009999998,12.14508896064523
