execution,arm,workload,slo_class,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p95,tpot_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99
results.1,constantcontrol,balanced_10,critical,2384.0,198.69267994966444,137.293,469.3678499999991,1634.8545200000017,32.03621406865083,31.10443307361902,44.60627316666666,48.47043005990125,8380.819994127516,8194.7955,12963.20695,15478.828660000012
results.1,constantcontrol,balanced_10,sheddable,2416.0,205.25045778145696,141.534,516.6772500000001,1682.0194,32.00010330039577,31.02177551375827,44.973270831188884,48.78706366451975,8322.065269039736,8097.8175,13080.47875,15414.439049999997
results.1,constantcontrol,balanced_15,critical,3632.0,12612.730561123348,11950.5225,23403.4852,25960.8874,71.54058403827472,71.57199128910038,79.38482085001756,84.46255754116304,30855.075808370046,30460.6765,43804.15445,48519.24368000001
results.1,constantcontrol,balanced_15,sheddable,3666.0,86304.26645717402,91447.539,152944.47275000002,158293.76984999998,66.84528768742015,68.31933723054439,75.38542225911975,79.84800821078429,103375.34292253139,109694.13399999999,170909.22125,178523.1347
results.1,constantcontrol,balanced_5,critical,1135.0,93.8492731277533,87.944,146.40049999999997,173.18612000000005,18.264043548798096,18.179872586872584,20.344786734715576,21.002366227166736,4725.933346255506,4735.949,6511.1589,7437.872240000004
results.1,constantcontrol,balanced_5,sheddable,1165.0,95.47552875536482,87.538,149.92139999999998,196.7929199999998,18.259480879850976,18.16056170212766,20.388327980230414,20.98297165583801,4732.772474678111,4719.152,6707.5887999999995,7555.72488
results.1,constantcontrol,balanced_8,critical,1877.0,122.51806126798083,106.812,202.463,281.41236,24.24212300916297,23.741608108108107,30.682564736511356,32.95984567140461,6307.41600213106,6242.63,9222.096399999995,10872.60316
results.1,constantcontrol,balanced_8,sheddable,1923.0,125.97052522100884,109.82,209.55309999999986,288.98414,24.29501606838671,23.639382252559727,31.191066428541138,34.55677346792375,6282.204761310453,6226.809,9269.2054,10860.795639999998
results.1,quartic,balanced_10,critical,2384.0,150.7768355704698,134.4505,272.15219999999994,369.37994000000015,32.30669284397567,31.495729223738756,45.27366699641339,49.15414736168033,8400.927045302014,8220.1025,12835.82125,15130.177840000002
results.1,quartic,balanced_10,sheddable,2416.0,152.99689279801325,138.90699999999998,270.30325,370.63439999999986,32.2905147333081,31.268616452991452,45.414475709102014,49.35399722408026,8341.863076572849,8114.8099999999995,13003.69425,15543.910349999996
