workload,slo_class,ttft_mean_baseline_mean,ttft_mean_other_mean,ttft_mean_delta%_R1,ttft_mean_delta%_R2,ttft_mean_delta%_R3,ttft_mean_delta%_avg,ttft_mean_maxabs,ttft_p95_baseline_mean,ttft_p95_other_mean,ttft_p95_delta%_R1,ttft_p95_delta%_R2,ttft_p95_delta%_R3,ttft_p95_delta%_avg,ttft_p95_maxabs,tpot_mean_baseline_mean,tpot_mean_other_mean,tpot_mean_delta%_R1,tpot_mean_delta%_R2,tpot_mean_delta%_R3,tpot_mean_delta%_avg,tpot_mean_maxabs,tpot_p95_baseline_mean,tpot_p95_other_mean,tpot_p95_delta%_R1,tpot_p95_delta%_R2,tpot_p95_delta%_R3,tpot_p95_delta%_avg,tpot_p95_maxabs,e2e_mean_baseline_mean,e2e_mean_other_mean,e2e_mean_delta%_R1,e2e_mean_delta%_R2,e2e_mean_delta%_R3,e2e_mean_delta%_avg,e2e_mean_maxabs,e2e_p95_baseline_mean,e2e_p95_other_mean,e2e_p95_delta%_R1,e2e_p95_delta%_R2,e2e_p95_delta%_R3,e2e_p95_delta%_avg,e2e_p95_maxabs
balanced_5,critical,93.02654860499267,100.3297377386197,5.219896725555062,-0.49905083543624607,18.57628803643337,7.765711308850729,18.57628803643337,145.32826666666665,149.48793333333333,3.3697087160473185,-0.6018107045478619,5.801412786654601,2.8564369327180192,5.801412786654601,18.463861764139455,18.306603623989854,-1.6676792210987617,-1.2228181243237104,0.3494828203501361,-0.8470048416907785,1.6676792210987617,20.636783220459044,20.448458921757304,-1.5966198129407982,-1.3092155628994895,0.17816677138413203,-0.9092228681520518,1.5966198129407982,4776.044296035242,4743.3904831130685,-1.549974783760268,-1.2092973816197394,0.7214721692881176,-0.6792666653639633,1.549974783760268,6598.287899999999,6548.4536,-2.1716183258601927,-0.9986133593202476,0.9365137246491646,-0.7445726535104251,2.1716183258601927
balanced_5,sheddable,94.03398369098711,102.1568200286123,5.887056535324595,-0.34849986416173584,20.121011663288083,8.553189444816981,20.121011663288083,148.42146666666665,154.3237333333333,2.211376143749792,-2.154507603909454,11.80877792616403,3.9552154886681223,11.80877792616403,18.46288458903408,18.304724969705152,-1.695749366713022,-1.2251312594026773,0.3660568208596158,-0.8516079350853611,1.695749366713022,20.703406836121705,20.49946590401203,-2.1436419116552687,-1.0763845166360122,0.2888833806955221,-0.9770476825319196,2.1436419116552687,4783.1099422031475,4751.193505579399,-1.5549132167770687,-1.20200403881064,0.7692333303543052,-0.6625613084111346,1.5549132167770687,6794.568666666666,6747.543133333333,-1.5354054807280229,-1.3119045961854585,0.7818923997505581,-0.6884725590543077,1.5354054807280229
balanced_8,critical,122.81177659385544,123.42148179719409,1.7990552901279877,-0.03251494604658035,-0.1883578265968901,0.5260608391615057,1.7990552901279877,202.3363999999999,213.02526666666662,2.914885583269979,0.019900599582473217,12.271395972138004,5.068727384996818,12.271395972138004,23.92729281209024,24.91377805415301,0.6454677737222964,0.516930553972452,11.22083772492486,4.1277453508732025,11.22083772492486,30.24868276850044,32.399284775309646,0.990374842385833,0.7607863697875995,19.613061919047,7.12140771040681,19.613061919047,6227.0526615166045,6479.046505238856,0.6567549471515577,0.5052615917253694,10.974483913840478,4.045500150905801,10.974483913840478,9107.448599999998,9591.170799999998,0.7041984175053225,0.5882734732925028,14.619508573302486,5.303993488033437,14.619508573302486
balanced_8,sheddable,125.36030005200207,125.73632102617437,1.0596034558309557,-0.15339729364086135,0.028799406420682162,0.3116685228702588,1.0596034558309557,210.2573666666665,214.45989999999992,-0.8443018048250878,-0.4818896023979608,6.86996260756615,1.8479237334477006,6.86996260756615,23.973831161619433,24.97442251984803,0.6450213605054571,0.5353370888965809,11.36095107364845,4.1804365076834955,11.36095107364845,30.752615770057222,32.95759438297941,1.1985917553345766,0.7266904677475572,19.626369963008315,7.18388406203015,19.626369963008315,6200.308382388629,6454.269189807593,0.6458766943451617,0.517321621159286,11.125981695934811,4.09639333714642,11.125981695934811,9161.891133333333,9726.608399999997,1.2055747618335926,0.4475293393891596,16.83408856457797,6.1623975552669075,16.83408856457797
balanced_10,critical,163.56042939038034,157.12823531879192,0.3302864024316725,-19.983062107181677,12.126993193340011,-2.508594170469998,19.983062107181677,302.9439166666666,294.7001833333333,4.61410931089294,-22.18089300614581,16.21662260711957,-0.4500536960444326,22.18089300614581,32.29701470973297,32.25888133808278,-1.0550557636788032,-1.250475172683215,1.9885549864338214,-0.1056586499760656,1.9885549864338214,45.24960368140584,44.93266121708649,-1.5695981733048838,-2.0251159387351425,1.5364637410714397,-0.6860834569895289,2.0251159387351425,8411.609946588367,8394.878946308725,-1.0343983301911552,-1.6818474873084572,2.1704322864944325,-0.18193784366839338,2.1704322864944325,12906.980499999998,12832.428083333332,-1.1202532132488225,-3.2514063732252136,2.7603942318394235,-0.5370884515448711,3.2514063732252136
balanced_10,sheddable,164.10490535320088,173.96534699227377,7.102225675259019,-9.261263142313608,23.867004304699794,7.2359889458817355,23.867004304699794,299.9068333333333,350.6544999999999,17.163130668980113,-6.3759536484382915,48.50908441503512,19.765420478525645,48.50908441503512,32.27064704716677,32.22028213653875,-1.1122644215818107,-1.2228257216744416,1.9027696341245282,-0.1441068363772414,1.9027696341245282,45.3280577524453,45.04004962794412,-1.6703091377302703,-1.6065257272773317,1.403839997987635,-0.624331622339989,1.6703091377302703,8348.552019453642,8345.500490618102,-0.9502898076656138,-1.4036045636070835,2.2919506125777254,-0.02064791956499068,2.2919506125777254,13013.013833333333,12914.38375,-1.9565939886659671,-1.9797326571059228,1.7184951879567714,-0.7392771526050396,1.9797326571059228
balanced_15,critical,11303.82090701358,4951.254629874301,-55.61141961971481,-51.72177171024577,-61.6976431829744,-56.34361150431166,61.6976431829744,19911.07216666666,14730.838799999989,-29.68610021834922,-18.994956450637194,-30.367346213322765,-26.349467627436393,30.367346213322765,71.81263490946331,60.05789372319443,-16.33193111283575,-15.04857054696432,-17.733221105677405,-16.371240921825827,17.733221105677405,80.15934442798897,70.70822529778825,-11.685081413772929,-10.475068630476358,-13.222912580954238,-11.794354208401174,13.222912580954238,29614.241616841566,20320.767532158916,-31.269988111071655,-29.119229649440705,-33.84063035854163,-31.409949373017998,33.84063035854163,41352.36225,32293.67846666666,-21.634252412837824,-17.684412530825476,-26.594127325227774,-21.970930756297026,26.594127325227774
balanced_15,sheddable,91732.62565462408,112416.4360673575,16.81989380267863,20.393910950150218,31.014240650084833,22.742681800971226,31.014240650084833,157121.62041666667,179527.46046666664,11.193738492863165,12.311649432605952,19.51153902455976,14.338975650009624,19.51153902455976,66.68604845959787,61.051858131101596,-9.835056067502528,-6.187847258919288,-9.318834838372252,-8.447246054931355,9.835056067502528,74.76837141553341,75.21242910283623,-2.155337933216564,4.543830812792545,-0.576987431305077,0.6038351494236348,4.543830812792545,108769.55190770233,127963.23853495135,12.639777765867045,16.232897301306544,24.491335322416337,17.78800346319664,24.491335322416337,175565.96265,195427.38086666664,8.366260517158725,10.153588538921275,15.598266360495982,11.372705138858661,15.598266360495982
