workload,slo_class,ttft_mean_baseline,ttft_mean_treatment,ttft_mean_delta,ttft_mean_pct,ttft_p95_baseline,ttft_p95_treatment,ttft_p95_delta,ttft_p95_pct,ttft_p99_baseline,ttft_p99_treatment,ttft_p99_delta,ttft_p99_pct,tpot_mean_baseline,tpot_mean_treatment,tpot_mean_delta,tpot_mean_pct,tpot_p95_baseline,tpot_p95_treatment,tpot_p95_delta,tpot_p95_pct,e2e_mean_baseline,e2e_mean_treatment,e2e_mean_delta,e2e_mean_pct,e2e_p95_baseline,e2e_p95_treatment,e2e_p95_delta,e2e_p95_pct,e2e_p99_baseline,e2e_p99_treatment,e2e_p99_delta,e2e_p99_pct
balanced_5,critical,89.69693215859031,94.37901938325992,4.682087224669601,5.219896725555062,142.40399999999997,147.2026,4.798600000000022,3.3697087160473185,167.6184,174.9652800000003,7.346880000000283,4.383098752881714,18.71003119882761,18.398007896263668,-0.3120233025639436,-1.6676792210987617,20.92756827586207,20.59343457440294,-0.3341337014591268,-1.5966198129407982,4835.5733955947135,4760.623227312775,-74.9501682819382,-1.549974783760268,6712.6759,6566.9021999999995,-145.77370000000064,-2.1716183258601927,7499.689180000002,7468.024260000001,-31.664920000001075,-0.42221643110816315
balanced_5,sheddable,90.436678111588,95.7607364806867,5.324058369098708,5.887056535324595,144.8962,148.10039999999998,3.204199999999986,2.211376143749792,184.4194799999999,196.04703999999998,11.627560000000074,6.304952166658359,18.715454210680313,18.398087014425236,-0.31736719625507703,-1.695749366713022,21.05651243378905,20.605136208125444,-0.4513762256636049,-2.1436419116552687,4843.918541630901,4768.599812017167,-75.31872961373392,-1.5549132167770687,6879.9546,6774.3194,-105.63519999999971,-1.5354054807280229,7774.673519999996,7601.398759999999,-173.2747599999966,-2.228707862191964
balanced_8,critical,117.75614384656367,119.87464198188599,2.1184981353223122,1.7990552901279755,198.10039999999984,203.8748,5.774400000000156,2.914885583269979,255.1096,258.675,3.565400000000011,1.397595386453513,24.03110942817127,24.186222495198056,0.15511306702678596,0.6454677737222964,30.489492749731465,30.791453015495854,0.3019602657643894,0.9903748423858213,6248.484603090037,6289.521834842834,41.0372317527972,0.6567549471515577,9135.322999999997,9199.653799999996,64.33079999999973,0.7041984175053225,10780.91804,10892.21084,111.29279999999926,1.0323128288989316
balanced_8,sheddable,120.1126838273531,121.38540197607904,1.272718148725943,1.0596034558309557,204.8675,203.13779999999997,-1.7297000000000367,-0.8443018048250878,270.79683999999986,278.98443999999995,8.187600000000089,3.0235212493617327,24.085596362828728,24.2409536041741,0.15535724134537077,0.6450213605054571,30.957060936897573,31.32810971698113,0.37104878008355513,1.1985917553345766,6223.379255850235,6263.574612064483,40.19535621424802,0.6458766943451617,9194.1291,9304.971199999998,110.84209999999803,1.2055747618335926,10827.0269,10830.42052,3.3936199999989185,0.03134396941416039
balanced_10,critical,150.7768355704698,151.27483095637584,0.4979953859060231,0.3302864024316725,272.15219999999994,284.7095999999999,12.557399999999973,4.61410931089294,369.37994000000015,392.95209,23.57214999999985,6.38154578724547,32.30669284397567,31.965839219071295,-0.34085362490437277,-1.0550557636788032,45.27366699641339,44.563052346249556,-0.7106146501638335,-1.5695981733048683,8400.927045302014,8314.027996224833,-86.89904907718119,-1.0343983301911552,12835.82125,12692.027549999999,-143.793700000002,-1.1202532132488365,15130.177840000002,14910.42727,-219.75057000000197,-1.4523991213047232
balanced_10,sheddable,152.99689279801325,163.86307740066226,10.866184602649014,7.102225675259019,270.30325,316.69575,46.392499999999984,17.163130668980113,370.63439999999986,625.7846499999996,255.15024999999974,68.84149177734173,32.2905147333081,31.93135882638388,-0.3591559069242187,-1.1122644215818107,45.414475709102014,44.65591357148059,-0.7585621376214249,-1.6703091377302703,8341.863076572849,8262.591201986756,-79.27187458609296,-0.9502898076656138,13003.69425,12749.264749999998,-254.429500000002,-1.9565939886659671,15543.910349999996,15207.790449999999,-336.11989999999787,-2.1623895945848526
balanced_15,critical,11475.923088105728,5093.999344343518,-6381.9237437622105,-55.61141961971481,19937.372899999995,14018.744399999998,-5918.628499999997,-29.68610021834922,26165.5697,18487.393239999994,-7678.176460000006,-29.34457972073127,72.03922307332701,60.27382678676916,-11.765396286557845,-16.33193111283575,80.47295696338837,71.06962642614599,-9.403330537242383,-11.685081413772929,29842.073998623346,20510.46100715662,-9331.612991466725,-31.269988111071655,40943.5308,32085.703999999998,-8857.826800000003,-21.63425241283784,47680.48307,38357.195999999974,-9323.287070000028,-19.5536757803239
balanced_15,sheddable,94138.33436623943,109972.30223425143,15833.967868011998,16.819893802678635,158354.7696,176080.58839999998,17725.81879999998,11.193738492863165,160739.87868,182852.7977,22112.91902,13.756958883876147,67.54695850900978,60.903677267756,-6.643281241253781,-9.835056067502528,76.16924736554736,74.52754268363216,-1.6417046819152006,-2.155337933216564,111396.54865830377,125476.8248475593,14080.276189255528,12.63977776586703,177296.5421,192129.6327,14833.090599999996,8.366260517158725,182100.24486,201235.56660000002,19135.321740000014,10.508125211315003
