workload,slo_class,ttft_mean_R1,ttft_mean_R2,ttft_mean_R3,ttft_mean_mean,ttft_mean_cv%,ttft_mean_ok,ttft_p95_R1,ttft_p95_R2,ttft_p95_R3,ttft_p95_mean,ttft_p95_cv%,ttft_p95_ok,tpot_mean_R1,tpot_mean_R2,tpot_mean_R3,tpot_mean_mean,tpot_mean_cv%,tpot_mean_ok,tpot_p95_R1,tpot_p95_R2,tpot_p95_R3,tpot_p95_mean,tpot_p95_cv%,tpot_p95_ok,e2e_mean_R1,e2e_mean_R2,e2e_mean_R3,e2e_mean_mean,e2e_mean_cv%,e2e_mean_ok,e2e_p95_R1,e2e_p95_R2,e2e_p95_R3,e2e_p95_mean,e2e_p95_cv%,e2e_p95_ok
balanced_5,critical,93.8492731277533,95.87711982378852,91.75852334801762,93.82830543318647,2.1948369273168717,OK,146.40049999999997,150.1924,146.3226,147.6385,1.4983119021238267,OK,18.264043548798096,18.47957652436683,18.701526086737772,18.48171538663423,1.1835974473334996,OK,20.344786734715576,20.712278814313525,21.060797889075747,20.705954479368284,1.7292005106766637,OK,4725.933346255506,4783.12643876652,4835.472749779736,4781.51084493392,1.1458213081165627,OK,6511.1589,6582.1192,6718.7215,6603.999866666666,1.5974722594403805,OK
balanced_5,sheddable,95.47552875536482,97.03394592274678,92.65502060085836,95.05483175965666,2.335040612320902,OK,149.92139999999998,151.19919999999996,150.20779999999996,150.44279999999998,0.4457050140868073,OK,18.259480879850976,18.47551513249064,18.7214707729091,18.485488928416903,1.2504748050836623,OK,20.388327980230414,20.674599094945357,21.12794315245478,20.73029007587685,1.7990069442336536,OK,4732.772474678111,4788.982020600859,4845.61274334764,4789.1224128755375,1.1780919440820758,OK,6707.5887999999995,6811.316,6927.286999999998,6815.397266666667,1.6126124909190271,OK
balanced_8,critical,122.51806126798084,117.31320777836974,120.00677144379328,119.94601349671463,2.1701084929991636,OK,202.463,196.61619999999976,202.44799999999992,200.5090666666666,1.6813851988546389,OK,24.24212300916297,23.981575747622287,24.105050075749908,24.109582944178385,0.5405848912959681,OK,30.682564736511356,30.225803822270446,30.251853825284847,30.386740794688887,0.8441903611002481,OK,6307.41600213106,6235.140469898775,6269.40109802877,6270.652523352869,0.5765590314548753,OK,9222.096399999997,9126.789599999998,9154.613799999996,9167.833266666663,0.5345789612746585,OK
balanced_8,sheddable,125.97052522100884,118.80676131045242,122.22988247529902,122.33572300225342,2.9288702232533796,OK,209.55309999999983,200.1173,204.1684999999999,204.61296666666658,2.313429226318948,OK,24.29501606838671,24.041522284356155,24.15922030157775,24.165252884773537,0.5249459560067529,OK,31.191066428541134,30.803786803530876,30.7615977087807,30.918816980284237,0.7656072727958989,OK,6282.204761310453,6211.185348933956,6244.639267810713,6246.00979268504,0.5688357529032384,OK,9269.2054,9180.8762,9193.0974,9214.393000000002,0.5194115201697619,OK
balanced_10,critical,198.69267994966444,153.50261073825502,158.9246132550336,170.37330131431767,14.48271637907218,FAIL,469.3678499999991,279.3742,292.3590999999999,347.03371666666635,30.58585078859607,FAIL,32.03621406865083,32.62441208512928,32.97963317504566,32.54675310960859,1.4639859557516384,OK,44.60627316666666,45.99969691192266,46.46613089307619,45.69070032388851,2.1178613338294774,OK,8380.819994127516,8484.600322986576,8579.902367449664,8481.774228187918,1.173943894649224,OK,12963.20695,13006.181299999997,13226.5312,13065.306483333332,1.0812481266502274,OK
balanced_10,sheddable,205.25045778145696,155.05914362582783,166.44951531456954,175.5863722406181,14.986108026226002,FAIL,516.6772500000001,273.3775,294.0565,361.37041666666664,37.329147525919396,FAIL,32.00010330039577,32.60826236984223,32.95466417869317,32.52100994964372,1.48588544697249,OK,44.97327083118888,46.02327727876865,46.3888027310555,45.795116947004345,1.6046039326456016,OK,8322.065269039736,8424.029548841057,8524.91597557947,8423.670264486755,1.2040574636839834,OK,13080.47875,13181.4145,13343.98325,13201.958833333332,1.0070334293185381,OK
balanced_15,critical,12612.730561123348,11111.331692540602,12133.141393997796,11952.401215887248,6.415816395842326,OK,23403.4852,19701.5814,21764.754,21623.273533333333,8.578732639086743,OK,71.54058403827472,71.72645098029834,72.2030498203676,71.82336161298021,0.4757506829426306,OK,79.38482085001756,80.2346936315626,80.06425350266107,79.89458932808041,0.5627696390620688,OK,30855.07580837005,29387.57859344894,30560.28940776432,30267.647936527774,2.5647306426550722,OK,43804.15445,40702.178799999994,42717.6211,42407.984783333326,3.7115601088134524,OK
balanced_15,sheddable,86304.26645717402,90500.16868939188,92503.69311508044,89769.37608721545,3.5242123041560887,OK,152944.47275000002,154262.0878,158747.3718,155317.97745,1.9586497632842075,OK,66.84528768742015,66.70837962479305,67.72974775096866,67.09447168772728,0.8263088124683691,OK,75.38542225911975,75.16423465975858,75.79082186599142,75.44682626162324,0.42119019910350186,OK,103375.3429225314,107555.70876656668,109797.8498355604,106909.63384155282,3.0489611156542837,OK,170909.22125,172578.36419999998,177276.1056,173587.89701666668,1.901810928785477,OK
