workload,slo_class,ttft_mean_R1,ttft_mean_R2,ttft_mean_R3,ttft_mean_mean,ttft_mean_cv%,ttft_mean_ok,ttft_p95_R1,ttft_p95_R2,ttft_p95_R3,ttft_p95_mean,ttft_p95_cv%,ttft_p95_ok,tpot_mean_R1,tpot_mean_R2,tpot_mean_R3,tpot_mean_mean,tpot_mean_cv%,tpot_mean_ok,tpot_p95_R1,tpot_p95_R2,tpot_p95_R3,tpot_p95_mean,tpot_p95_cv%,tpot_p95_ok,e2e_mean_R1,e2e_mean_R2,e2e_mean_R3,e2e_mean_mean,e2e_mean_cv%,e2e_mean_ok,e2e_p95_R1,e2e_p95_R2,e2e_p95_R3,e2e_p95_mean,e2e_p95_cv%,e2e_p95_ok
balanced_5,critical,94.37901938325992,93.64554273127752,112.9646511013216,100.3297377386197,10.912318009188525,FAIL,147.2026,145.16369999999998,156.0975,149.48793333333333,3.8893611739213156,OK,18.398007896263668,18.089779975078052,18.432023000627833,18.306603623989854,1.0299203583131937,OK,20.59343457440294,20.16151089192447,20.590431298944495,20.448458921757304,1.2152936379531176,OK,4760.623227312775,4681.603204405286,4787.945017621145,4743.3904831130685,1.1642650247841553,OK,6566.9021999999995,6458.7478,6619.7108,6548.4536,1.25299850973021,OK
balanced_5,sheddable,95.7607364806867,95.03163862660944,115.67808497854077,102.1568200286123,11.468086164039432,FAIL,148.10039999999998,146.92439999999996,167.9464,154.3237333333333,7.654182047777675,OK,18.398087014425236,18.086291322090663,18.42979657259955,18.304724969705152,1.037067433013221,OK,20.605136208125444,20.2187662615473,20.67449524236335,20.49946590401203,1.1978567800746485,OK,4768.599812017167,4688.674548497855,4796.306156223176,4751.193505579399,1.1762763688588473,OK,6774.3194,6647.066400000001,6821.243599999999,6747.543133333333,1.3356413297444538,OK
balanced_8,critical,119.874641981886,117.2539328716036,133.1358705380927,123.42148179719409,6.898590989921466,OK,203.8748,195.00779999999995,240.19319999999996,213.02526666666662,11.23913070291738,OK,24.186222495198056,23.98091113220542,26.574200535055553,24.91377805415301,5.786467445688234,OK,30.791453015495858,30.2957248327003,36.11067647773279,32.399284775309646,9.949918753238503,OK,6289.521834842834,6235.028551944592,6912.589128929142,6479.046505238856,5.810210756576235,OK,9199.653799999996,9118.944199999998,10454.9144,9591.170799999998,7.810429675758171,OK
balanced_8,sheddable,121.38540197607904,119.67152834113364,136.15203276131044,125.73632102617437,7.206258685773631,OK,203.13779999999997,201.9936999999999,238.2481999999999,214.45989999999992,9.609821155213691,OK,24.2409536041741,24.036064941022076,26.646249014347912,24.97442251984803,5.8118020066969995,OK,31.32810971698113,30.843313138695937,36.70136029326115,32.95759438297941,9.864934328414622,OK,6263.574612064483,6210.276641185646,6888.956316172646,6454.269189807593,5.847171043875064,OK,9304.971199999998,9169.7083,10705.145699999995,9726.608399999997,8.7402779216206,OK
balanced_10,critical,151.27483095637584,152.04629236577182,168.0635826342282,157.12823531879192,6.03210544862129,OK,284.7095999999999,284.8212,314.56975,294.7001833333333,5.83903266490352,OK,31.965839219071295,32.25081975908533,32.55998503609171,32.25888133808278,0.9211569701440889,OK,44.56305234624955,44.848482584732345,45.38644872027758,44.93266121708649,0.9305097042680575,OK,8314.027996224833,8388.14498238255,8482.46386031879,8394.878946308725,1.005608371121496,OK,12692.02755,12784.2881,13020.968599999998,12832.428083333332,1.3222141145452513,OK
balanced_10,sheddable,163.86307740066226,170.55791928807946,187.4750442880795,173.96534699227377,6.9951800693715205,OK,316.69575,340.267,395.00075,350.6544999999999,11.456481945500983,OK,31.93135882638388,32.22312825954201,32.50635932369035,32.22028213653875,0.8923286673647824,OK,44.65591357148059,45.00434471989448,45.4598905924573,45.04004962794412,0.8951500069116337,OK,8262.591201986756,8343.427572847682,8430.482697019866,8345.500490618102,1.0061103081462752,OK,12749.264749999998,12957.516500000002,13036.37,12914.38375,1.1485875940282884,OK
balanced_15,critical,5093.999344343518,5644.909238921002,4114.855306358382,4951.254629874301,15.651598877623316,FAIL,14018.744399999998,17542.917199999974,12630.854799999992,14730.838799999989,17.19027248144527,FAIL,60.27382678676916,61.083693240824545,58.816161141989575,60.05789372319443,1.9132951262249052,OK,71.06962642614599,71.91412199999999,69.14092746721876,70.70822529778825,2.0103483531418704,OK,20510.46100715662,21278.683619322874,19173.157969997246,20320.767532158916,5.243420531604805,OK,32085.704,34970.0036,29825.327799999985,32293.67846666666,7.984955160043173,OK
balanced_15,sheddable,109972.30223425145,112645.05968584672,114631.94628197436,112416.4360673575,2.079962652357116,OK,176080.58839999998,180658.9416,181842.8514,179527.46046666664,1.6951203487475168,OK,60.903677267756,62.59787996544049,59.6540171601083,61.051858131101596,2.4200981403706825,OK,74.52754268363216,78.16267112989324,72.94707349498329,75.21242910283623,3.5557956146458745,OK,125476.8248475593,128556.80247804744,129856.08827924734,127963.23853495135,1.7576619103123807,OK,192129.6327,197244.0187,196908.4912,195427.38086666664,1.4638976560812196,OK
