request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
203,sheddable,,sheddable,6,,0,,0,true,912,142,0,0,0,0,0,,0,916,39708425,1780951394586725,1780951394661503,1780951397098908,143,ok,,length
206,sheddable,,sheddable,6,,0,,0,true,1218,191,0,0,0,0,0,,0,1230,40079478,1780951394957185,1780951395074330,1780951398388577,192,ok,,length
202,critical,,critical,0,,0,,0,true,1485,236,0,0,0,0,0,,0,1463,39513502,1780951394391750,1780951394497152,1780951398610947,237,ok,,length
201,sheddable,,sheddable,6,,0,,0,true,1029,264,0,0,0,0,0,,0,1015,39415681,1780951394293866,1780951394383087,1780951399023208,265,ok,,length
200,critical,,critical,0,,0,,0,true,535,284,0,0,0,0,0,,0,524,39325282,1780951394203215,1780951394314303,1780951399344390,285,ok,,length
214,sheddable,,sheddable,6,,0,,0,true,654,141,0,0,0,0,0,,0,679,42076762,1780951396955066,1780951397023285,1780951399463224,142,ok,,length
207,sheddable,,sheddable,6,,0,,0,true,758,246,0,0,0,0,0,,0,780,40608402,1780951395486030,1780951395561899,1780951399794198,247,ok,,length
205,sheddable,,sheddable,6,,0,,0,true,840,303,0,0,0,0,0,,0,847,40046426,1780951394924789,1780951394999926,1780951400216112,304,ok,,length
211,critical,,critical,0,,0,,0,true,1141,220,0,0,0,0,0,,0,1107,41475349,1780951396352791,1780951396437307,1780951400231581,221,ok,,length
212,critical,,critical,0,,0,,0,true,1229,232,0,0,0,0,0,,0,1239,41568157,1780951396445888,1780951396542574,1780951400466748,233,ok,,length
204,critical,,critical,0,,0,,0,true,865,335,0,0,0,0,0,,0,847,39871754,1780951394750167,1780951394822805,1780951400539257,336,ok,,length
208,sheddable,,sheddable,6,,0,,0,true,902,293,0,0,0,0,0,,0,890,40859557,1780951395737511,1780951395813775,1780951400824843,294,ok,,length
209,critical,,critical,0,,0,,0,true,637,284,0,0,0,0,0,,0,651,41059816,1780951395937687,1780951396001777,1780951400855731,285,ok,,length
213,sheddable,,sheddable,6,,0,,0,true,709,269,0,0,0,0,0,,0,697,41627583,1780951396505519,1780951396594049,1780951401127859,270,ok,,length
218,sheddable,,sheddable,6,,0,,0,true,1285,227,0,0,0,0,0,,0,1296,42640359,1780951397518466,1780951397675482,1780951401452252,228,ok,,length
210,critical,,critical,0,,0,,0,true,639,344,0,0,0,0,0,,0,669,41289371,1780951396166764,1780951396231891,1780951402157092,345,ok,,length
215,sheddable,,sheddable,6,,0,,0,true,760,296,0,0,0,0,0,,0,762,42524802,1780951397402495,1780951397476914,1780951402527265,297,ok,,length
220,sheddable,,sheddable,6,,0,,0,true,1011,276,0,0,0,0,0,,0,1017,43225959,1780951398103830,1780951398209039,1780951402897498,277,ok,,length
223,sheddable,,sheddable,6,,0,,0,true,831,214,0,0,0,0,0,,0,848,44312819,1780951399191195,1780951399269223,1780951403033095,215,ok,,length
222,critical,,critical,0,,0,,0,true,1236,241,0,0,0,0,0,,0,1241,43973105,1780951398851536,1780951398948638,1780951403183898,242,ok,,length
216,sheddable,,sheddable,6,,0,,0,true,1170,327,0,0,0,0,0,,0,1153,42580671,1780951397458786,1780951397547551,1780951403333552,328,ok,,length
219,critical,,critical,0,,0,,0,true,1623,319,0,0,0,0,0,,0,1629,43158176,1780951398036342,1780951398140971,1780951403706689,320,ok,,length
217,critical,,critical,0,,0,,0,true,1071,359,0,0,0,0,0,,0,1054,42613169,1780951397491144,1780951397652074,1780951404014856,360,ok,,length
224,critical,,critical,0,,0,,0,true,906,268,0,0,0,0,0,,0,923,44376191,1780951399254076,1780951399329786,1780951404121586,269,ok,,length
226,critical,,critical,0,,0,,0,true,1154,255,0,0,0,0,0,,0,1195,44978486,1780951399856719,1780951399938444,1780951404585522,256,ok,,length
221,critical,,critical,0,,0,,0,true,521,344,0,0,0,0,0,,0,516,43817450,1780951398694888,1780951398757627,1780951404961781,345,ok,,length
227,critical,,critical,0,,0,,0,true,775,267,0,0,0,0,0,,0,782,45154693,1780951400032318,1780951400096517,1780951404977673,268,ok,,length
