request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
203,sheddable,,sheddable,6,,0,,0,true,912,142,0,0,0,0,0,,0,916,13236110,1780951369242633,1780951372196531,1780951377812996,143,ok,,length
214,sheddable,,sheddable,6,,0,,0,true,654,141,0,0,0,0,0,,0,679,14025554,1780951370031594,1780951372531332,1780951378029232,142,ok,,length
206,sheddable,,sheddable,6,,0,,0,true,1218,191,0,0,0,0,0,,0,1230,13359794,1780951369366023,1780951372523153,1780951380719244,192,ok,,length
211,critical,,critical,0,,0,,0,true,1141,220,0,0,0,0,0,,0,1107,13825072,1780951369831218,1780951371554632,1780951382730056,221,ok,,length
223,sheddable,,sheddable,6,,0,,0,true,831,214,0,0,0,0,0,,0,848,14770905,1780951370777098,1780951372942012,1780951383480471,215,ok,,length
212,critical,,critical,0,,0,,0,true,1229,232,0,0,0,0,0,,0,1239,13856008,1780951369861960,1780951371661601,1780951384134230,233,ok,,length
202,critical,,critical,0,,0,,0,true,1485,236,0,0,0,0,0,,0,1463,13171125,1780951369176976,1780951371446949,1780951384347088,237,ok,,length
218,sheddable,,sheddable,6,,0,,0,true,1285,227,0,0,0,0,0,,0,1296,14213419,1780951370219525,1780951372733225,1780951384671789,228,ok,,length
222,critical,,critical,0,,0,,0,true,1236,241,0,0,0,0,0,,0,1241,14657657,1780951370664396,1780951372857611,1780951386302508,242,ok,,length
207,sheddable,,sheddable,6,,0,,0,true,758,246,0,0,0,0,0,,0,780,13536102,1780951369542093,1780951372521870,1780951386412040,247,ok,,length
201,sheddable,,sheddable,6,,0,,0,true,1029,264,0,0,0,0,0,,0,1015,13138529,1780951369145117,1780951372101396,1780951386950576,265,ok,,length
213,sheddable,,sheddable,6,,0,,0,true,709,269,0,0,0,0,0,,0,697,13875828,1780951369882049,1780951372531774,1780951387208305,270,ok,,length
224,critical,,critical,0,,0,,0,true,906,268,0,0,0,0,0,,0,923,14792019,1780951370798617,1780951372944541,1780951387368983,269,ok,,length
200,critical,,critical,0,,0,,0,true,535,284,0,0,0,0,0,,0,524,13108385,1780951369114398,1780951371339715,1780951387478727,285,ok,,length
